Win/loss,Player card,Machine card,Machine,Bet
0,16,20,1,20
0,24,6,1,20
0,22,2,1,20
0,17,18,1,20
0,20,21,1,20
0,17,18,1,20
1,21,19,1,20
0,18,19,1,20
1,16,22,1,20
0,25,10,1,20
0,17,18,1,20
1,18,17,1,20
1,19,24,1,20
1,20,18,1,20
0,24,8,1,20
1,18,25,1,20
0,19,21,1,20
0,14,21,1,20
0,16,17,1,20
0,18,17,1,20
1,17,23,1,20
0,18,20,1,20
0,19,18,1,20
0,14,21,1,20
0,16,17,1,20
1,18,17,1,20
1,17,23,1,20
0,18,20,1,20
0,18,19,1,20
0,14,21,1,20
1,20,24,1,20
1,21,20,1,20
0,17,18,1,20
0,23,4,1,20
1,20,18,1,20
0,24,4,1,20
1,19,17,1,20
0,26,11,1,20
0,26,6,1,20
0,16,20,1,20
1,20,18,1,20
0,17,19,1,20
0,16,18,1,20
0,18,19,1,20
1,20,22,1,20
1,16,25,1,20
0,16,17,1,20
0,20,21,1,20
1,20,18,1,20
0,28,21,1,20
1,21,19,1,20
1,21,24,1,20
0,23,9,1,20
0,18,19,1,20
1,21,25,1,20
1,17,26,1,20
1,18,24,1,20
1,19,26,1,20
1,21,17,1,20
1,20,22,1,20
0,23,7,1,20
0,22,7,1,20
0,23,3,1,20
0,17,20,1,20
1,20,19,1,20
1,21,23,1,20
1,20,23,1,20
1,20,17,1,20
0,24,7,1,20
1,18,22,2,20
1,20,25,2,20
1,20,23,2,20
1,18,25,2,20
0,22,8,2,20
0,26,6,2,20
0,18,19,2,20
1,18,24,2,20
0,22,10,2,20
0,16,23,2,20
0,16,19,2,20
1,20,19,2,20
1,21,22,2,20
0,22,4,2,20
0,25,3,2,20
0,16,20,2,20
0,23,3,2,20
1,21,20,2,20
1,20,18,2,20
0,17,21,2,20
1,20,19,2,20
1,18,26,2,20
1,21,20,2,20
0,19,21,2,20
0,18,21,2,20
0,20,21,2,20
1,16,23,2,20
0,18,21,2,20
0,22,10,2,20
0,25,10,2,20
0,23,8,2,20
1,20,18,2,20
1,21,20,2,20
0,16,19,2,20
1,20,22,2,20
0,17,20,2,20
1,20,17,2,20
1,18,17,2,20
0,23,10,2,20
0,19,21,2,20
1,19,25,2,20
0,22,3,2,20
0,16,21,2,20
0,22,2,2,20
1,20,17,2,20
0,20,21,2,20
0,23,9,2,20
1,20,18,2,20
1,16,24,2,20
1,19,18,2,20
1,20,22,2,20
1,20,17,2,20
1,12,25,2,20
1,20,14,2,20
0,23,10,2,20
1,20,18,2,20
1,20,17,2,20
1,17,25,2,20
0,23,3,2,20
1,18,17,2,20
0,17,20,2,20
0,23,2,2,20
1,16,24,2,20
0,22,3,2,20
1,28,17,2,20
0,17,20,2,20
0,23,2,2,20
1,16,24,2,20
0,22,3,2,20
1,18,17,2,20
0,19,20,1,30
1,17,25,1,30
1,16,24,1,30
1,20,18,1,30
0,24,5,1,30
0,26,5,1,30
1,19,18,1,30
1,20,23,1,30
0,18,21,1,30
1,19,23,1,30
0,17,18,1,30
0,22,10,1,30
1,20,17,1,30
0,17,26,1,30
0,24,5,1,30
0,12,21,1,30
1,21,9,1,30
0,23,4,1,30
0,23,10,1,30
1,17,22,1,30
0,25,11,1,30
1,21,20,1,30
0,18,21,1,30
1,18,24,1,30
1,17,25,1,30
0,24,11,1,30
0,24,10,1,30
0,22,7,1,30
0,18,20,1,30
0,23,6,1,30
0,25,6,1,30
1,17,22,1,30
0,19,20,1,30
1,19,18,1,30
0,18,20,1,30
0,17,19,1,30
0,18,20,1,30
0,24,3,1,30
1,18,22,1,30
0,24,10,1,30
0,17,20,1,30
1,21,19,1,30
1,20,22,1,30
0,28,10,1,30
0,17,19,1,30
0,16,20,1,30
0,23,10,1,30
1,21,25,1,30
0,22,17,1,30
0,24,9,1,30
1,21,18,1,30
0,24,2,1,30
1,20,23,1,30
1,18,17,1,30
0,17,18,1,30
0,22,6,1,30
1,17,22,1,30
0,22,5,1,30
0,26,11,1,30
0,25,10,1,30
1,19,17,1,30
0,19,20,1,30
1,20,19,1,30
0,22,4,1,30
0,17,21,1,30
1,20,17,1,30
1,19,26,1,30
0,24,8,1,30
0,17,19,1,30
0,16,21,1,30
0,24,10,2,30
0,18,21,2,30
1,21,17,2,30
0,13,21,2,30
1,18,17,2,30
1,19,23,2,30
0,19,20,2,30
0,19,20,2,30
0,26,10,2,30
0,23,2,2,30
1,21,17,2,30
1,19,17,2,30
1,19,26,2,30
0,20,21,2,30
0,18,20,2,30
1,20,22,2,30
0,17,19,2,30
0,25,10,2,30
0,20,21,2,30
1,18,17,2,30
0,16,18,2,30
0,22,10,2,30
1,19,18,2,30
1,19,23,2,30
0,22,10,2,30
1,20,18,2,30
0,16,19,2,30
1,20,19,2,30
1,20,17,2,30
1,21,17,2,30
1,20,22,2,30
1,20,19,2,30
0,17,18,2,30
0,24,4,2,30
1,20,17,2,30
0,22,4,2,30
0,19,21,2,30
0,16,19,2,30
0,18,17,2,30
0,19,21,2,30
0,14,21,2,30
0,19,20,2,30
1,19,17,2,30
0,18,19,2,30
1,21,17,2,30
0,15,18,2,30
1,19,22,2,30
1,20,26,2,30
0,25,8,2,30
0,19,20,2,30
0,26,8,2,30
0,20,21,2,30
0,26,5,2,30
1,18,22,2,30
1,19,24,2,30
1,20,18,2,30
0,20,21,2,30
1,16,23,2,30
0,17,19,2,30
0,16,22,2,30
0,23,2,2,30
1,19,17,2,30
1,18,22,2,30
1,19,22,2,30
0,23,8,2,30
0,19,20,2,30
1,21,20,2,30
0,22,4,2,30
1,19,24,2,30
1,20,18,2,30
0,20,21,1,50
0,16,17,1,50
0,17,19,1,50
1,19,22,1,50
1,16,23,1,50
1,19,18,1,50
1,21,22,1,50
0,22,10,1,50
0,18,19,1,50
0,17,18,1,50
1,21,16,1,50
1,21,14,1,50
1,18,17,1,50
0,17,21,1,50
0,17,21,1,50
0,17,19,1,50
1,18,17,1,50
1,15,26,1,50
1,20,17,1,50
1,20,24,1,50
0,19,21,1,50
1,18,24,1,50
0,24,10,1,50
0,16,19,1,50
0,26,5,1,50
1,20,19,1,50
0,20,21,1,50
0,16,19,1,50
0,22,10,1,50
1,20,18,1,50
0,23,9,1,50
1,21,24,1,50
0,22,3,1,50
0,22,4,1,50
0,23,5,1,50
0,26,4,1,50
1,21,20,1,50
0,13,21,1,50
1,20,18,1,50
0,17,21,1,50
1,20,18,1,50
0,23,3,1,50
1,20,18,1,50
0,25,9,1,50
0,18,19,1,50
1,20,24,1,50
0,26,2,1,50
1,20,17,1,50
1,20,17,1,50
0,23,2,1,50
1,18,26,1,50
0,20,21,1,50
1,18,23,1,50
1,21,20,1,50
0,16,18,1,50
1,20,19,1,50
0,17,18,1,50
0,24,10,1,50
1,19,22,1,50
1,20,24,1,50
1,21,23,1,50
0,23,7,1,50
1,18,23,1,50
0,22,9,1,50
1,20,17,1,50
0,16,20,1,50
1,18,17,1,50
0,17,18,1,50
0,16,20,1,50
1,21,17,1,50
1,20,18,2,50
1,20,19,2,50
1,17,24,2,50
0,17,20,2,50
1,20,17,2,50
0,26,11,2,50
1,19,17,2,50
1,21,24,2,50
0,24,10,2,50
1,18,17,2,50
0,18,19,2,50
0,25,7,2,50
0,17,18,2,50
0,22,9,2,50
0,24,5,2,50
0,24,11,2,50
0,22,5,2,50
0,25,10,2,50
0,17,21,2,50
0,23,7,2,50
1,18,24,2,50
0,18,21,2,50
0,23,11,2,50
0,19,21,2,50
1,21,20,2,50
1,20,24,2,50
0,23,11,2,50
1,20,19,2,50
0,20,21,2,50
1,20,18,2,50
0,24,5,2,50
1,20,18,2,50
0,15,18,2,50
0,26,5,2,50
0,24,3,2,50
0,22,8,2,50
1,21,8,2,50
0,22,10,2,50
1,20,22,2,50
0,24,10,2,50
0,16,21,2,50
1,20,19,2,50
0,26,7,2,50
1,18,17,2,50
0,25,2,2,50
1,21,14,2,50
0,22,6,2,50
0,22,6,2,50
1,21,10,2,50
1,20,22,2,50
0,17,20,2,50
1,15,24,2,50
1,17,25,2,50
0,17,21,2,50
0,23,10,2,50
0,22,5,2,50
0,17,19,2,50
0,17,19,2,50
0,17,20,2,50
0,19,20,2,50
1,21,20,2,50
1,21,17,2,50
1,21,20,2,50
1,21,17,2,50
0,24,11,2,50
0,24,9,2,50
1,21,16,2,50
0,22,10,2,50
0,19,21,2,50
1,21,19,2,50
0,20,21,2,50
